,class,x1_mean,y1_mean,z1_mean,x2_mean,y2_mean,z2_mean,x3_mean,y3_mean,z3_mean,x4_mean,y4_mean,z4_mean,x1_max,y1_max,z1_max,x2_max,y2_max,z2_max,x3_max,y3_max,z3_max,x4_max,y4_max,z4_max,x1_var,y1_var,z1_var,x2_var,y2_var,z2_var,x3_var,y3_var,z3_var,x4_var,y4_var,z4_var
10,bunny,3.635,-8.790666666666668,0.6233333333333333,-46.62933333333334,101.71333333333332,-5.135666666666665,9.539666666666667,-0.9740000000000002,0.282,-82.68533333333336,8.634666666666673,-0.5109999999999993,17.92,10.2,14.58,250.13,250.13,107.18,12.5,0.73,1.58,5.2,26.99,13.0,20.06010172413793,29.769116781609195,17.751085057471265,9715.323275402297,8188.064133333333,5804.915756436781,0.9160585057471267,1.025686896551724,0.5076027586206895,3408.4656257471247,199.49674298850573,94.9322989655172
11,bunny,2.9670000000000005,-7.224666666666669,-0.1193333333333331,-16.764333333333344,74.67733333333332,-31.297666666666668,9.783666666666663,-1.7373333333333332,-0.49366666666666664,-40.24,5.443000000000001,10.088999999999999,19.62,15.34,12.65,250.13,240.02,173.65,12.52,-0.88,0.15,9.94,16.76,29.79,40.11484931034482,57.79670160919538,32.80551678160919,14557.111639195402,12867.569171954023,9780.549535747126,1.1445826436781608,0.30006160919540215,0.13674816091954026,1923.3390482758623,33.116276896551724,69.70447827586206
12,bunny,3.7066666666666666,-8.273000000000001,-0.04500000000000013,-21.243666666666666,-69.23933333333333,43.596666666666664,9.456666666666662,-1.9849999999999999,-0.27266666666666667,51.43066666666666,-17.180999999999997,3.559333333333332,19.62,13.11,12.02,250.13,242.98,208.63,11.45,-0.64,0.51,134.43,13.12,16.85,29.707112643678165,34.716332068965514,20.133984482758624,10678.302327471263,11439.166482298848,9543.108698850574,0.6920160919540228,0.8299155172413795,0.13270988505747128,2403.805165057471,473.13280931034484,46.02773747126437
13,bunny,2.267666666666666,-8.788,0.5456666666666667,-10.740000000000004,-69.5296666666667,3.8000000000000016,9.512333333333334,-2.165,0.19200000000000003,69.77999999999999,-7.260666666666668,-1.5359999999999991,17.23,10.84,16.08,250.13,101.53,164.52,12.17,-0.25,1.24,147.03,11.02,12.6,25.962597816091964,32.210926896551726,26.20759091954023,10986.309303448272,7230.372120574712,6948.588965517242,1.1355771264367809,1.234432758620689,0.25180965517241377,3125.678000000003,62.51339954022987,56.045555862068966
14,bunny,3.7623333333333338,-6.429333333333334,3.860000000000001,-30.972,35.65933333333333,-0.7433333333333336,9.463333333333336,-1.2853333333333334,-0.18633333333333332,-41.989,2.1609999999999996,-2.034333333333334,16.14,14.32,15.89,250.13,242.35,148.44,10.33,0.41,0.94,5.6,19.98,8.72,26.893846091954025,68.76802022988505,26.456586206896556,22332.63887172414,12555.877689195402,11868.361595402299,0.18720919540229927,0.9375085057471266,0.3346447126436781,748.1704989655174,168.06083689655173,63.27790816091952
15,bunny,2.079333333333333,-8.92366666666667,0.4203333333333334,-22.673666666666666,122.49266666666668,-23.146,9.730333333333332,-1.167,-0.00533333333333333,-74.251,13.366333333333337,3.8336666666666663,9.98,14.21,17.46,250.13,222.7,195.95,12.89,1.49,0.62,1.55,30.56,18.76,7.8009581609195395,42.54376885057471,23.697844712643676,15241.065217126437,6473.743385747125,8082.47132137931,1.668899885057471,1.234456206896552,0.10617747126436784,2539.750264482758,62.76445160919535,48.64385850574713
16,bunny,3.2823333333333333,-4.733333333333334,2.8503333333333343,6.274666666666667,38.766333333333336,-26.57066666666667,9.615666666666666,-1.325,0.20933333333333337,-24.413,2.267333333333334,6.716333333333333,19.62,18.35,12.26,250.13,250.13,187.88,11.21,0.19,0.9,19.8,17.05,14.37,48.539659885057475,82.94428505747125,28.873865402298847,33358.220501609205,18977.618237816092,20937.72703402299,0.5446598850574712,0.3053293103448275,0.11615816091954022,1630.5254975862065,75.59339264367816,32.78894816091953
17,bunny,4.16,-7.691666666666666,1.7486666666666664,-15.90966666666667,-54.98733333333333,59.657666666666664,9.330333333333332,-1.9933333333333332,0.16366666666666668,44.774,-18.123666666666665,7.998666666666667,13.36,11.62,14.05,250.13,250.13,175.22,10.76,-0.14,0.83,137.24,11.03,19.49,21.004882758620685,39.156455747126444,24.157584367816096,15233.604141264372,10251.781496091955,13020.191646091956,0.8089757471264364,1.100574712643678,0.2104240229885057,2455.9004041379317,601.2890033333335,33.41737057471265
18,bunny,2.552,-7.917666666666666,1.7620000000000007,-45.73533333333333,-56.46600000000001,20.752,9.468666666666667,-2.2603333333333335,0.22266666666666676,64.17466666666665,-7.060333333333335,-0.5573333333333342,16.34,18.5,16.81,250.13,134.75,126.98,12.39,-0.15,1.49,133.5,15.35,20.2,35.44567172413794,44.83573574712644,30.767782068965513,15586.824956781604,8174.176024827585,8652.786754482759,1.7004257471264372,1.2293757471264366,0.4505167816091954,2183.7359705747112,62.1866516091954,160.23433747126435
19,bunny,3.5606666666666666,-5.325666666666666,2.866333333333332,-30.938333333333333,27.883000000000006,-2.0759999999999996,9.573666666666668,-1.9443333333333335,0.3556666666666667,-35.629999999999995,-1.4116666666666668,-2.638666666666666,18.76,19.62,14.68,250.13,250.13,161.08,11.07,0.33,1.18,11.5,22.73,8.11,38.738102988505744,81.0074116091954,29.19638954022988,22823.558766091955,13927.536842413796,15401.27894896552,0.5411136781609194,0.8134943678160917,0.26621160919540227,1885.6814,185.16735919540227,20.423018850574707
