,class,x1_mean,y1_mean,z1_mean,x2_mean,y2_mean,z2_mean,x3_mean,y3_mean,z3_mean,x4_mean,y4_mean,z4_mean,x1_max,y1_max,z1_max,x2_max,y2_max,z2_max,x3_max,y3_max,z3_max,x4_max,y4_max,z4_max,x1_var,y1_var,z1_var,x2_var,y2_var,z2_var,x3_var,y3_var,z3_var,x4_var,y4_var,z4_var
10,logout,5.101666667,-3.294333333,-1.123666667,-31.86533333,-28.45633333,-1.713,9.684333333,-0.689666667,-0.801,-1.089,0.493333333,1.271666667,19.62,12.61,16.09,250.13,250.13,250.13,10.06,0.01,-0.35,8.9,7.15,4.73,169.840042,29.76359092,86.85098954,42716.06864,48471.6611,50189.15829,0.032115057,0.223403333,0.038581724,38.90696103,13.58485057,3.381835057
11,logout,0.966666667,-3.837,0.197,-20.157,-20.74166667,-23.58033333,9.650333333,-0.618666667,-0.912666667,0.140333333,1.944,0.842,19.62,2.46,12.45,250.13,250.13,250.13,9.99,0.18,-0.48,5.93,8.44,6.17,133.8724851,11.84995966,46.03213897,45428.58981,51117.25128,51123.48671,0.025727471,0.106432644,0.039785747,16.88324471,12.2134869,10.6731131
12,logout,4.794,-1.085333333,-3.896,24.33333333,19.78766667,-6.533,9.704,-0.475,-0.824666667,-4.187333333,0.786333333,2.483666667,19.62,6.94,6.32,250.13,250.13,250.13,10.08,0.46,-0.2,1.93,4.82,6.75,156.45568,19.28153609,59.63975586,44462.23218,57258.66708,51215.61277,0.023466207,0.210191379,0.041894713,17.24746161,7.671927471,11.28528609
13,logout,6.046,-3.208,-2.879333333,-12.89033333,1.566,4.846666667,9.722,-0.570666667,-0.674666667,-0.661333333,0.057333333,2.495666667,19.62,4.52,6.86,250.13,250.13,250.13,10.07,0.2,-0.24,5.54,4.16,6.68,159.2617421,18.79997517,50.01641333,46443.88393,53292.61719,53385.77164,0.015106207,0.129751264,0.023122299,11.59290851,6.20319954,8.747384023
14,logout,4.056666667,-4.103333333,-0.580666667,-49.07866667,-8.046333333,-19.60833333,9.693666667,-0.532333333,-0.854,1.342666667,0.085,0.351666667,19.62,7.95,15.3,250.13,250.13,250.13,10.06,0.2,-0.61,16.08,5.91,5.5,134.4029885,16.7960092,84.35013747,48604.20392,44988.00191,51489.84948,0.02538954,0.131266782,0.018935172,57.08986851,8.657025862,9.338931609
15,logout,3.459333333,-3.516666667,-3.365666667,-25.467,-3.653666667,-4.861666667,9.709333333,-0.259333333,-0.84,-0.32,1.301,0.390666667,19.62,7.18,11.38,250.13,250.13,250.13,9.96,0.28,-0.57,8.22,8.84,4.53,144.7275168,15.39331264,78.41354954,41011.44713,51479.26948,52873.16625,0.01619954,0.103909885,0.021434483,19.36834483,17.34867138,6.780778851
16,logout,3.290666667,-2.615666667,-3.074333333,15.81466667,8.995666667,9.991,9.759666667,-0.238,-0.676,-1.743666667,1.825333333,3.518,19.62,12.33,9.37,250.13,250.13,250.13,10.18,0.35,-0.25,5.23,6.44,6.84,201.8115857,28.56941851,73.35506678,46296.94524,54922.42521,55566.42477,0.041092989,0.129244138,0.046755862,18.77485161,7.627542989,4.038788966
17,logout,3.846,-1.084,-2.942333333,-51.649,-42.09533333,-41.167,9.703,-0.504,-0.703666667,-0.867333333,0.226,3.463666667,19.62,17.75,11.26,250.13,250.13,250.13,10.06,0.66,-0.16,19.11,10.4,7.98,184.1048179,60.94165931,84.58975644,45877.7058,54849.36185,55276.32303,0.02789069,0.349197241,0.063127471,80.86710299,17.99894207,7.894913678
18,logout,3.969333333,-3.888666667,-2.599666667,17.29966667,24.98766667,37.532,9.714333333,-0.708,-0.429,0.012666667,2.415333333,3.823666667,19.62,5.26,13.22,250.13,250.13,250.13,10.03,-0.02,0.02,8.86,11.19,9.81,101.280303,24.52401195,89.53702402,55377.63836,52522.26574,54247.62022,0.035839195,0.138851034,0.073257586,54.60886851,14.55695678,11.04012747
19,logout,0.823333333,-4.458,-1.796,-30.84,-11.15566667,-12.04733333,9.638666667,-0.954666667,-0.482333333,0.453,0.235666667,2.133666667,19.62,6.99,9.27,250.13,250.13,250.13,9.92,-0.32,-0.22,6.75,4.18,8.92,196.0839954,20.91874759,78.19468,37194.13826,52378.16342,46212.78667,0.020901609,0.114563678,0.022742644,18.55493207,9.64499092,5.696851609
20,logout,3.521666667,-3.389666667,-1.08,-17.70666667,-17.14366667,-13.50966667,9.699,-0.758666667,-0.591666667,-1.442333333,-1.288666667,1.122333333,19.62,10.6,19.62,250.13,250.13,250.13,10.17,-0.13,-0.16,13.63,5.27,5.24,159.2158144,21.08443782,115.5526828,43173.31813,50027.96131,45160.0934,0.042243793,0.123674023,0.08866954,39.12052885,14.18656368,6.254811609
21,logout,2.550666667,-3.154666667,-2.85,6.639666667,14.70133333,-29.92266667,9.682666667,-0.638,-0.92,-2.222666667,0.856666667,1.147333333,19.62,6.09,9.62,250.13,250.13,250.13,10.03,0,-0.45,9.93,7.68,7.15,135.3061306,20.60226713,83.73027586,51329.24711,55648.41141,52711.31237,0.02024092,0.084775172,0.033165517,75.3784754,11.84625747,6.250654713
22,logout,5.001,-3.357333333,-4.206666667,-11.47233333,28.976,25.873,9.721666667,-0.438666667,-0.814,-0.932333333,2.101333333,1.563666667,19.62,5.06,7.44,250.13,250.13,250.13,10.03,0.01,-0.35,6.79,6.78,5.57,108.5005197,9.809916782,69.36968506,51946.77519,55584.80534,52575.86473,0.01631092,0.055205057,0.036893793,10.89061851,5.039694713,3.302182644
